user_id,item_id,rank_position,recommendation_score
1879,38965,1,0.2652590817327653
1879,283115,2,0.16649279245042253
1879,252319,3,0.16376401749007147
1879,318333,4,0.11832986502020341
1879,119736,5,0.11721500434665781
1879,241555,6,0.10656122897765201
1879,9877,7,0.08944483510518772
1879,137697,8,0.08656028419814606
1879,342530,9,0.08650022605843061
1879,162139,10,0.08646425175336625
2194,9877,1,0.08032736613118177
2194,48030,2,0.08011292109308878
2194,119736,3,0.07765189279216962
2194,387373,4,0.05717256019847739
2194,369158,5,0.0564395101548927
2194,46156,6,0.05036161455974696
2194,23762,7,0.05020371002430467
2194,144704,8,0.048852774382984916
2194,204494,9,0.046160119224937984
2194,420960,10,0.045710798303252635
6699,46156,1,1.1266850440751872
6699,387373,2,0.9019452040885116
6699,37029,3,0.726695468423147
6699,9877,4,0.6987710413826433
6699,48030,5,0.6949081578344651
6699,314789,6,0.686427490647334
6699,369447,7,0.6727417958899924
6699,369158,8,0.6653858916324917
6699,144704,9,0.6587930519752162
6699,115258,10,0.6013689897321088
9535,461686,1,0.0757760617792015
9535,9877,2,0.054811145492337565
9535,166306,3,0.04642084806278882
9535,48030,4,0.04331593767724599
9535,228644,5,0.042015904697471906
9535,384302,6,0.04175554559960862
9535,310944,7,0.03850082570051127
9535,204494,8,0.03787176986657697
9535,248455,9,0.03767559147904604
9535,197642,10,0.03630954254763521
12579,445351,1,0.8194830027306081
12579,355994,2,0.6115153494959318
12579,441852,3,0.43754230707947084
12579,37029,4,0.4007004051511613
12579,409804,5,0.3574488800017938
12579,268883,6,0.3279243872008155
12579,11279,7,0.32318337087441396
12579,465522,8,0.3211276952013224
12579,439963,9,0.3136681185391001
12579,119736,10,0.30898961578834494
17676,213834,1,2.3560588095247943
17676,248455,2,2.3289746000754867
17676,109583,3,1.9180241512089637
17676,9877,4,1.619357362540961
17676,445351,5,1.5246542406204429
17676,282385,6,1.4483050189390188
17676,345279,7,1.4235298234676974
17676,190000,8,1.3846409383365839
17676,268883,9,1.2387192661899957
