REQUEST_ID,USER_ID,ITEM_ID,RANK_POSITION,RECOMMENDATION_SCORE,MODEL_NAME,MODEL_VERSION,FEATURE_VERSION,SOURCE_VALIDATION_BATCH_ID,GENERATED_TS
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,38965,1,0.5223870159932572,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,252319,2,0.29434554256113693,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,283115,3,0.2916270460667876,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,241555,4,0.19773911245989256,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,9877,5,0.13856759818901299,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,162139,6,0.11113257122546319,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,318333,7,0.10647687103166051,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,248455,8,0.10156244360784067,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,57245,9,0.10032672347290277,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,1879,137697,10,0.09864746670977796,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,119736,1,0.08344571201114381,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,48030,2,0.0779686187793517,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,9877,3,0.06389248789547543,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,369158,4,0.05110535938421297,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,420960,5,0.04898402531002778,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,387373,6,0.04706135461516774,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,23762,7,0.04578580550243275,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,17478,8,0.04522734391569895,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,144704,9,0.04507433534751232,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,2194,204494,10,0.04295025029705541,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,6699,46156,1,1.202705768048182,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,6699,387373,2,0.8967766249536604,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,6699,314789,3,0.710254680648749,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,6699,144704,4,0.6882767600819996,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
7fab0a90-b393-4bb1-acab-b70ed11bb487,6699,369447,5,0.6702059070758699,recomart_svd_recommender,v1,v1,20260430081645,2026-04-30 08:20:13.550
