VALIDATION_BATCH_ID,RULE_ID,TARGET_TABLE,TOTAL_RECORDS,FAILED_RECORDS,PASSED_RECORDS,FAILURE_PERCENTAGE,STATUS,MESSAGE,EXECUTED_TS
20260430081645,DQ008,RAW.RAW_EXTERNAL_PRODUCTS,400,0,1,0.0,PASSED,External API should return at least one product,2026-04-30 08:18:38.685
20260430081645,DQ007,RAW.RAW_RECOMART_CATEGORY_TREE,6676,0,6676,0.0,PASSED,Category ID should not be null,2026-04-30 08:18:38.299
20260430081645,DQ006,RAW.RAW_RECOMART_ITEM_PROPERTIES,81103608,0,81103608,0.0,PASSED,Item property fields should not be null,2026-04-30 08:18:37.872
20260430081645,DQ005,RAW.RAW_RECOMART_EVENTS,11024404,0,11024404,0.0,PASSED,Transaction events should have transaction_id,2026-04-30 08:18:37.496
20260430081645,DQ004,RAW.RAW_RECOMART_EVENTS,11024404,8268763,2755641,75.0,FAILED,Duplicate event records should not exist,2026-04-30 08:18:36.675
20260430081645,DQ003,RAW.RAW_RECOMART_EVENTS,11024404,0,11024404,0.0,PASSED,"Event type should be view, addtocart, or transaction",2026-04-30 08:18:36.272
20260430081645,DQ002,RAW.RAW_RECOMART_EVENTS,11024404,0,11024404,0.0,PASSED,Item ID should not be null,2026-04-30 08:18:35.861
20260430081645,DQ001,RAW.RAW_RECOMART_EVENTS,11024404,0,11024404,0.0,PASSED,Visitor ID should not be null,2026-04-30 08:18:35.387
20260430075931,DQ008,RAW.RAW_EXTERNAL_PRODUCTS,200,0,1,0.0,PASSED,External API should return at least one product,2026-04-30 08:01:55.415
20260430075931,DQ007,RAW.RAW_RECOMART_CATEGORY_TREE,3338,0,3338,0.0,PASSED,Category ID should not be null,2026-04-30 08:01:54.459
20260430075931,DQ006,RAW.RAW_RECOMART_ITEM_PROPERTIES,40551804,0,40551804,0.0,PASSED,Item property fields should not be null,2026-04-30 08:01:54.064
20260430075931,DQ005,RAW.RAW_RECOMART_EVENTS,5512202,0,5512202,0.0,PASSED,Transaction events should have transaction_id,2026-04-30 08:01:50.703
20260430075931,DQ004,RAW.RAW_RECOMART_EVENTS,5512202,2756561,2755641,50.01,FAILED,Duplicate event records should not exist,2026-04-30 08:01:49.356
20260430075931,DQ003,RAW.RAW_RECOMART_EVENTS,5512202,0,5512202,0.0,PASSED,"Event type should be view, addtocart, or transaction",2026-04-30 08:01:44.966
20260430075931,DQ002,RAW.RAW_RECOMART_EVENTS,5512202,0,5512202,0.0,PASSED,Item ID should not be null,2026-04-30 08:01:44.592
20260430075931,DQ001,RAW.RAW_RECOMART_EVENTS,5512202,0,5512202,0.0,PASSED,Visitor ID should not be null,2026-04-30 08:01:40.772
20260430030321,DQ008,RAW.RAW_EXTERNAL_PRODUCTS,100,0,1,0.0,PASSED,External API should return at least one product,2026-04-30 07:37:56.582
20260430030321,DQ007,RAW.RAW_RECOMART_CATEGORY_TREE,1669,0,1669,0.0,PASSED,Category ID should not be null,2026-04-30 07:37:52.224
20260430030321,DQ006,RAW.RAW_RECOMART_ITEM_PROPERTIES,20275902,0,20275902,0.0,PASSED,Item property fields should not be null,2026-04-30 07:37:46.212
20260430030321,DQ005,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Transaction events should have transaction_id,2026-04-30 07:37:45.851
20260430030321,DQ004,RAW.RAW_RECOMART_EVENTS,2756101,460,2755641,0.02,FAILED,Duplicate event records should not exist,2026-04-30 07:37:42.053
20260430030321,DQ003,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,"Event type should be view, addtocart, or transaction",2026-04-30 07:37:41.602
20260430030321,DQ002,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Item ID should not be null,2026-04-30 07:37:35.235
20260430030321,DQ001,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Visitor ID should not be null,2026-04-30 07:37:34.796
20260430030321,DQ008,RAW.RAW_EXTERNAL_PRODUCTS,100,0,1,0.0,PASSED,External API should return at least one product,2026-04-30 05:05:35.613
20260430030321,DQ007,RAW.RAW_RECOMART_CATEGORY_TREE,1669,0,1669,0.0,PASSED,Category ID should not be null,2026-04-30 05:05:31.956
20260430030321,DQ006,RAW.RAW_RECOMART_ITEM_PROPERTIES,20275902,0,20275902,0.0,PASSED,Item property fields should not be null,2026-04-30 05:05:31.193
20260430030321,DQ005,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Transaction events should have transaction_id,2026-04-30 05:05:30.498
20260430030321,DQ004,RAW.RAW_RECOMART_EVENTS,2756101,460,2755641,0.02,FAILED,Duplicate event records should not exist,2026-04-30 05:05:29.991
20260430030321,DQ003,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,"Event type should be view, addtocart, or transaction",2026-04-30 05:05:29.599
20260430030321,DQ002,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Item ID should not be null,2026-04-30 05:05:28.173
20260430030321,DQ001,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Visitor ID should not be null,2026-04-30 05:05:27.769
20260430030321,DQ008,RAW.RAW_EXTERNAL_PRODUCTS,100,0,1,0.0,PASSED,External API should return at least one product,2026-04-30 03:48:16.969
20260430030321,DQ007,RAW.RAW_RECOMART_CATEGORY_TREE,1669,0,1669,0.0,PASSED,Category ID should not be null,2026-04-30 03:48:14.981
20260430030321,DQ006,RAW.RAW_RECOMART_ITEM_PROPERTIES,20275902,0,20275902,0.0,PASSED,Item property fields should not be null,2026-04-30 03:48:14.348
20260430030321,DQ005,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Transaction events should have transaction_id,2026-04-30 03:48:13.980
20260430030321,DQ004,RAW.RAW_RECOMART_EVENTS,2756101,460,2755641,0.02,FAILED,Duplicate event records should not exist,2026-04-30 03:48:10.701
20260430030321,DQ003,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,"Event type should be view, addtocart, or transaction",2026-04-30 03:48:10.322
20260430030321,DQ002,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Item ID should not be null,2026-04-30 03:48:09.980
20260430030321,DQ001,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Visitor ID should not be null,2026-04-30 03:48:09.678
20260430033303,DQ008,RAW.RAW_EXTERNAL_PRODUCTS,100,0,1,0.0,PASSED,External API should return at least one product,2026-04-30 03:33:03.354
20260430033301,DQ007,RAW.RAW_RECOMART_CATEGORY_TREE,1669,0,1669,0.0,PASSED,Category ID should not be null,2026-04-30 03:33:01.734
20260430033301,DQ006,RAW.RAW_RECOMART_ITEM_PROPERTIES,20275902,0,20275902,0.0,PASSED,Item property fields should not be null,2026-04-30 03:33:01.104
20260430033300,DQ005,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Transaction events should have transaction_id,2026-04-30 03:33:00.731
20260430033300,DQ004,RAW.RAW_RECOMART_EVENTS,2756101,460,2755641,0.02,FAILED,Duplicate event records should not exist,2026-04-30 03:33:00.257
20260430033257,DQ003,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,"Event type should be view, addtocart, or transaction",2026-04-30 03:32:57.062
20260430033255,DQ002,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Item ID should not be null,2026-04-30 03:32:55.767
20260430033255,DQ001,RAW.RAW_RECOMART_EVENTS,2756101,0,2756101,0.0,PASSED,Visitor ID should not be null,2026-04-30 03:32:55.424
