USER_ID,ITEM_ID,USER_TOTAL_VIEWS,USER_TOTAL_TRANSACTIONS,ITEM_POPULARITY_SCORE,USER_ITEM_IMPLICIT_SCORE,TARGET_LABEL,FEATURE_VERSION,SOURCE_VALIDATION_BATCH_ID
1400680,425643,1,0,3.0,1.0,0.3,v1,20260430030321
133143,423730,1,0,5.0,1.0,0.3,v1,20260430030321
1020096,184523,1,0,100.0,1.0,0.3,v1,20260430030321
790752,88951,14,0,36.0,14.0,0.3,v1,20260430030321
1067863,370401,3,0,37.0,1.0,0.3,v1,20260430030321
260504,215505,1,0,115.0,1.0,0.3,v1,20260430030321
1127797,299954,1,0,62.0,1.0,0.3,v1,20260430030321
1357661,334520,2,0,355.0,1.0,0.3,v1,20260430030321
86580,234913,45,0,78.0,1.0,0.3,v1,20260430030321
1046787,308517,2,1,11.0,1.0,0.3,v1,20260430030321
1396197,260539,2,0,574.0,2.0,0.3,v1,20260430030321
904983,310911,51,0,36.0,1.0,0.3,v1,20260430030321
463198,276969,4,0,50.0,3.0,0.3,v1,20260430030321
812910,385815,18,0,21.0,7.0,0.3,v1,20260430030321
697164,209541,5,0,15.0,3.0,0.3,v1,20260430030321
21970,86439,3,0,38.0,1.0,0.3,v1,20260430030321
968049,396732,8,0,238.0,5.0,0.3,v1,20260430030321
1021,334886,1,0,238.0,1.0,0.3,v1,20260430030321
296584,213043,1,0,28.0,1.0,0.3,v1,20260430030321
1212120,405003,1,0,38.0,1.0,0.3,v1,20260430030321
