RUN_ID,MODEL_NAME,MODEL_VERSION,METRIC_NAME,METRIC_VALUE,K_VALUE,FEATURE_VERSION,SOURCE_VALIDATION_BATCH_ID,EVALUATION_DATE,CREATED_TS
b14f3158-eb22-44e4-9a60-4c6ec3e0c8ea,recomart_svd_recommender,v1,evaluated_users,384.0,10,v1,20260502031153,2026-05-02,2026-05-02 03:16:35.264
b14f3158-eb22-44e4-9a60-4c6ec3e0c8ea,recomart_svd_recommender,v1,hit_rate_at_k,0.08333333333333333,10,v1,20260502031153,2026-05-02,2026-05-02 03:16:35.264
b14f3158-eb22-44e4-9a60-4c6ec3e0c8ea,recomart_svd_recommender,v1,ndcg_at_k,0.048749011071743176,10,v1,20260502031153,2026-05-02,2026-05-02 03:16:35.264
b14f3158-eb22-44e4-9a60-4c6ec3e0c8ea,recomart_svd_recommender,v1,precision_at_k,0.008333333333333337,10,v1,20260502031153,2026-05-02,2026-05-02 03:16:35.264
b14f3158-eb22-44e4-9a60-4c6ec3e0c8ea,recomart_svd_recommender,v1,recall_at_k,0.08333333333333333,10,v1,20260502031153,2026-05-02,2026-05-02 03:16:35.264
bf8e9ced-46e7-4aa8-a376-95133dc88830,recomart_svd_recommender,v1,evaluated_users,385.0,10,v1,20260502024231,2026-05-02,2026-05-02 02:46:46.146
bf8e9ced-46e7-4aa8-a376-95133dc88830,recomart_svd_recommender,v1,hit_rate_at_k,0.10909090909090909,10,v1,20260502024231,2026-05-02,2026-05-02 02:46:46.146
bf8e9ced-46e7-4aa8-a376-95133dc88830,recomart_svd_recommender,v1,ndcg_at_k,0.059628248124353564,10,v1,20260502024231,2026-05-02,2026-05-02 02:46:46.146
bf8e9ced-46e7-4aa8-a376-95133dc88830,recomart_svd_recommender,v1,precision_at_k,0.010909090909090912,10,v1,20260502024231,2026-05-02,2026-05-02 02:46:46.146
bf8e9ced-46e7-4aa8-a376-95133dc88830,recomart_svd_recommender,v1,recall_at_k,0.10909090909090909,10,v1,20260502024231,2026-05-02,2026-05-02 02:46:46.146
8dab2e16-c85e-40da-a9b5-029bc9d33414,recomart_svd_recommender,v1,evaluated_users,385.0,10,v1,20260430081645,2026-04-30,2026-04-30 08:20:13.116
8dab2e16-c85e-40da-a9b5-029bc9d33414,recomart_svd_recommender,v1,hit_rate_at_k,0.07792207792207792,10,v1,20260430081645,2026-04-30,2026-04-30 08:20:13.116
8dab2e16-c85e-40da-a9b5-029bc9d33414,recomart_svd_recommender,v1,ndcg_at_k,0.04977292098949356,10,v1,20260430081645,2026-04-30,2026-04-30 08:20:13.116
8dab2e16-c85e-40da-a9b5-029bc9d33414,recomart_svd_recommender,v1,precision_at_k,0.007792207792207796,10,v1,20260430081645,2026-04-30,2026-04-30 08:20:13.116
8dab2e16-c85e-40da-a9b5-029bc9d33414,recomart_svd_recommender,v1,recall_at_k,0.07792207792207792,10,v1,20260430081645,2026-04-30,2026-04-30 08:20:13.116
b34eab25-6666-46fc-9022-db9515a8df24,recomart_svd_recommender,v1,evaluated_users,385.0,10,v1,20260430075931,2026-04-30,2026-04-30 08:03:49.313
b34eab25-6666-46fc-9022-db9515a8df24,recomart_svd_recommender,v1,hit_rate_at_k,0.07792207792207792,10,v1,20260430075931,2026-04-30,2026-04-30 08:03:49.313
b34eab25-6666-46fc-9022-db9515a8df24,recomart_svd_recommender,v1,ndcg_at_k,0.049459165353990704,10,v1,20260430075931,2026-04-30,2026-04-30 08:03:49.313
b34eab25-6666-46fc-9022-db9515a8df24,recomart_svd_recommender,v1,precision_at_k,0.007792207792207796,10,v1,20260430075931,2026-04-30,2026-04-30 08:03:49.313
